time_s,q_rad,qd_rad_s,q_des_rad,applied_torque_nm
2.1001904010772705,-0.3769720494747162,1.4300674200057983,8.200149637866428e-05,0.0505376805890185
2.1101059913635254,-0.36265501379966736,1.5552934408187866,0.010439931855140003,0.05958222827762325
2.120201826095581,-0.34556832909584045,1.5686957836151123,0.020891771646664597,0.0706666850273495
2.130190849304199,-0.3289929926395416,1.6153512001037598,0.03086469281736241,0.08229370188227306
2.140190362930298,-0.3134828805923462,1.8236122131347656,0.04079467220876702,0.09557802292682496
2.1501572132110596,-0.294649213552475,1.7364240884780884,0.050232754545908934,0.1086492922460248
2.1602022647857666,-0.2788834571838379,1.7870368957519531,0.05973353359382511,0.12307171803355894
2.170185089111328,-0.25924018025398254,1.8375062942504883,0.06862614826967141,0.13626826173593085
2.1801645755767822,-0.24176999926567078,1.9311531782150269,0.07750002506777827,0.15002013560545374
2.190199613571167,-0.22097624838352203,1.8987700939178467,0.08587745002019656,0.16213151404155823
2.2001774311065674,-0.20363391935825348,1.945223331451416,0.094129628501188,0.17395339741525107
2.210097312927246,-0.1814766526222229,2.092315673828125,0.10181484483667978,0.18363797146262653
2.2201600074768066,-0.1626855731010437,2.109304189682007,0.10946026729630437,0.19262051426971788
2.2301862239837646,-0.14052827656269073,2.009453058242798,0.11658009992154643,0.1993700958680248
2.240173816680908,-0.12233375012874603,2.0398173332214355,0.1234421225699911,0.20487020953211404
2.2500946521759033,-0.09979297965765,2.163557529449463,0.12980804176366614,0.20836336712374232
2.2601542472839355,-0.07614434510469437,2.2229087352752686,0.13593644609084743,0.21046829299960004
2.2701447010040283,-0.05701238662004471,2.1064531803131104,0.1416165889562473,0.21100070688805253
2.280158758163452,-0.03361940756440163,2.1960201263427734,0.14688368131893803,0.21004677889295936
2.2901840209960938,-0.014061350375413895,2.2144436836242676,0.15180746060434305,0.20812640402852967
2.3001511096954346,0.008522030897438526,2.0663819313049316,0.15616794317230492,0.2047299246401284
2.310134172439575,0.03174456208944321,2.1346986293792725,0.16026052903440358,0.20106888390579283
2.320146083831787,0.05057825148105621,2.1120777130126953,0.1637017299092241,0.19586437270499304
2.330134868621826,0.07260769605636597,2.070600986480713,0.16694053395832054,0.1911545122639125
2.3401527404785156,0.09459453821182251,2.0294878482818604,0.16939119384210763,0.1847977591619909
2.3501570224761963,0.11266124248504639,2.0498228073120117,0.1717329674297614,0.17968798321630636
2.3601431846618652,0.13366805016994476,1.9664148092269897,0.1731335933696678,0.17275553584594874
2.3701281547546387,0.15454702079296112,1.9316651821136475,0.1745201547081603,0.1677693293000351
2.3801331520080566,0.1708241105079651,1.8873947858810425,0.1748382814501981,0.16069065898585008
2.3901288509368896,0.1897004097700119,1.7630873918533325,0.1751299728717195,0.15577683639968612
2.400146245956421,0.20768189430236816,1.7478318214416504,0.17441231640445087,0.1492160244873134
2.4101574420928955,0.2248537838459015,1.6546123027801514,0.1735533759293853,0.14345652606796438
2.420130729675293,0.23772203922271729,1.4485496282577515,0.17176762761513117,0.1342053110116193
2.430135726928711,0.2531042993068695,1.4567928314208984,0.16971374530643216,0.12359405153722322
2.4401557445526123,0.26635605096817017,1.2197843790054321,0.16680201816328769,0.10901635099534951
2.450190782546997,0.277008593082428,1.2305972576141357,0.16348666528624667,0.0921883567421095
2.460188150405884,0.2887263894081116,1.0660758018493652,0.15942516949449692,0.07175356407414801
2.470167636871338,0.2977597415447235,0.715776264667511,0.15483624319602204,0.04868726398862456
2.4802002906799316,0.30457738041877747,0.725063681602478,0.14956016233166697,0.022777828857164315
2.4901931285858154,0.31224721670150757,0.7038629055023193,0.1436186030668142,-0.00553773870203026
2.5001413822174072,0.3182978332042694,0.5229088068008423,0.1371622809218601,-0.03454471787358819
2.510185718536377,0.32102489471435547,0.2858983874320984,0.12978867911357028,-0.06405268402615207
2.5202057361602783,0.32268667221069336,0.05635267496109009,0.12200160518085038,-0.09079030851780719
2.5301496982574463,0.32268667221069336,-0.03215910494327545,0.11326526179959721,-0.11632583839389213
2.5402002334594727,0.3222179710865021,-0.030698753893375397,0.10413216800943646,-0.13757131198703096
2.55019474029541,0.32081183791160583,-0.14039616286754608,0.09385584937058221,-0.1574994822715973
2.56019926071167,0.3200874626636505,-0.11805614084005356,0.083407495641492,-0.17217770205350244
2.5701935291290283,0.31629517674446106,-0.4952537715435028,0.07158700199404171,-0.1864092658974
2.580193042755127,0.3107558488845825,-0.52643221616745,0.0597298280954058,-0.19554184720353257
2.590156316757202,0.3064095973968506,-0.4965561330318451,0.046372741758292695,-0.20546544188768462
