update,mean_rollout_reward,eval_reward,loss_policy,loss_value,loss_entropy
75,-4.3413454370551845,nan,-0.03492041304707527,3091.8037109375,1.6462578773498535
76,-4.4280346907456885,nan,0.03910800814628601,3329.849853515625,1.6304593086242676
77,-4.25235283644155,nan,-0.07669137418270111,2814.715576171875,1.6172709465026855
78,-4.341185293454363,nan,-0.08156415820121765,2965.45703125,1.5896937847137451
79,-4.371297590801683,nan,0.019566718488931656,3145.15478515625,1.5658092498779297
80,-4.087988861175301,-2618.519684843295,0.10457003116607666,2714.115966796875,1.5492092370986938
81,-4.208552840275804,nan,-0.013964503072202206,2758.762451171875,1.5305960178375244
82,-4.420630909623035,nan,-0.023906899616122246,3064.06689453125,1.5087347030639648
83,-4.2284120919638655,nan,0.058268651366233826,2807.04052734375,1.4871041774749756
84,-4.110974780737041,nan,-0.013857956975698471,2560.33935546875,1.460625171661377
85,-3.960653215725598,nan,-0.05118386447429657,2187.40087890625,1.4377787113189697
86,-4.171408486802085,nan,-0.0029295217245817184,2599.32763671875,1.413877010345459
87,-4.016950311026904,nan,0.08083733916282654,2487.975830078125,1.3885314464569092
88,-3.965746932726764,nan,-0.04857936501502991,2135.267333984375,1.3645005226135254
89,-3.8048226847419078,nan,-0.016162987798452377,2009.526611328125,1.3405691385269165
90,-3.7548218544875667,-2074.6882701058194,-0.023602720350027084,1836.598388671875,1.3110147714614868
91,-3.650927379301506,nan,0.07680429518222809,1884.5869140625,1.2816237211227417
92,-3.558065027648097,nan,-0.047422658652067184,1502.664306640625,1.2572400569915771
93,-3.7777035856165773,nan,-0.003960473462939262,1815.295166015625,1.2326583862304688
94,-3.4591077987626835,nan,0.02613876760005951,1459.0655517578125,1.2103122472763062
95,-3.3858874808961157,nan,0.07466182857751846,1305.649169921875,1.1854500770568848
96,-3.738777871190826,nan,0.05821765214204788,1889.26171875,1.1566493511199951
97,-3.4658535595195326,nan,-0.03386677801609039,1395.646728515625,1.1323460340499878
98,-3.2807484615581815,nan,-0.03188811615109444,1108.4254150390625,1.11294424533844
99,-3.534172225510276,nan,-0.0021550003439188004,1444.4820556640625,1.092501163482666
100,-3.2424021284203386,-1604.036256410086,-0.03621405363082886,1049.2957763671875,1.0710283517837524
101,-3.249334806853848,nan,-0.05377308279275894,1011.2313842773438,1.0479635000228882
102,-3.132714030447968,nan,-0.023803479969501495,940.1483764648438,1.0191268920898438
103,-3.222701441942907,nan,-0.0999041274189949,978.50634765625,0.9876053333282471
104,-3.098663050178769,nan,0.016887208446860313,902.1455688476562,0.9611173868179321
105,-3.0129223157265588,nan,-0.033157553523778915,812.87890625,0.9422464370727539
106,-2.9657587961213414,nan,-0.0014104964211583138,763.2318115234375,0.9195542931556702
107,-3.069118597304958,nan,-0.0022706426680088043,826.2161865234375,0.8957005739212036
108,-2.988091718679515,nan,-0.03409329801797867,697.18115234375,0.8642456531524658
109,-3.0119032571359727,nan,-0.053159765899181366,740.5499267578125,0.8331989049911499
110,-2.7492285551527935,-1436.473888429675,0.014698132872581482,526.7474975585938,0.8087730407714844
111,-2.745075180806563,nan,0.04862576723098755,548.6925659179688,0.7810708284378052
112,-2.6583789514354046,nan,-0.039109326899051666,439.19708251953125,0.7510954141616821
113,-2.7137161568282013,nan,-0.04772523045539856,430.71014404296875,0.7184911966323853
114,-2.650771429418001,nan,-0.052379149943590164,419.5978088378906,0.6913533210754395
115,-2.587981269032079,nan,-0.011590462177991867,360.8031005859375,0.6701353788375854
116,-2.4693827974291542,nan,-0.0310513935983181,279.2215576171875,0.6354618072509766
117,-2.496754080089409,nan,0.02686200477182865,315.5462646484375,0.6036524772644043
118,-2.4577416716668257,nan,-0.039236780256032944,250.27090454101562,0.5696014165878296
119,-2.311175738879171,nan,-0.0231847632676363,223.09947204589844,0.53466796875
120,-2.325933815660457,-875.283551723412,-0.11120586842298508,181.2424774169922,0.4981135129928589
121,-2.3012743114620604,nan,0.06434202194213867,193.19119262695312,0.4708695411682129
122,-2.196841214488618,nan,0.015635205432772636,169.1586456298828,0.43134820461273193
123,-2.2380966646108043,nan,-0.14083975553512573,139.53933715820312,0.3932870626449585
124,-2.1687113174616677,nan,0.03905074670910835,121.99242401123047,0.3542667627334595
125,-2.0516055405796028,nan,-0.04839814454317093,84.01481628417969,0.31492507457733154
126,-1.9685472388180725,nan,-0.034307461231946945,88.38751220703125,0.26932859420776367
127,-1.9112331586141191,nan,-0.04737142473459244,57.71115493774414,0.22654271125793457
128,-1.8317027352921693,nan,0.08713624626398087,60.196556091308594,0.1763291358947754
129,-1.805587701248455,nan,-0.03708340972661972,51.22333526611328,0.10521984100341797
130,-1.7012661781598548,-843.7845139479012,0.12147834897041321,57.34211730957031,0.028088092803955078
131,-1.6983960312930497,nan,0.04032207280397415,74.68888092041016,-0.022458553314208984
132,-1.425460710032164,nan,0.00888553261756897,48.53288269042969,-0.0359339714050293
133,-1.4858905490288628,nan,-0.02279207855463028,66.7388687133789,-0.05266702175140381
134,-1.4951439069359602,nan,-0.05589686334133148,59.03956604003906,-0.07262647151947021
135,-1.49926529003464,nan,0.06990969181060791,39.7835578918457,-0.0904155969619751
136,-1.4299291216490304,nan,0.1373327374458313,40.310569763183594,-0.10534489154815674
137,-1.4601673230845709,nan,0.03972326219081879,37.161041259765625,-0.1251826286315918
138,-1.4034658767463684,nan,-0.0840727835893631,45.64204025268555,-0.14010155200958252
139,-1.330056643144757,nan,0.0902753546833992,43.20567321777344,-0.15230822563171387
140,-1.3684389546074474,-666.4798045690686,0.06804757565259933,34.12972640991211,-0.165816068649292
141,-1.3389693219751833,nan,-0.11134079098701477,54.73497009277344,-0.1774967908859253
142,-1.4058837131936222,nan,0.014348702505230904,42.449928283691406,-0.19955706596374512
143,-1.3963770676095115,nan,0.05350819602608681,54.55641174316406,-0.22490942478179932
144,-1.313069423184484,nan,-0.026655390858650208,46.74543762207031,-0.24347496032714844
145,-1.2367316300782902,nan,-0.07117020338773727,48.183982849121094,-0.25686967372894287
146,-1.3207905101592134,nan,-0.0016185827553272247,30.25102424621582,-0.27178728580474854
