time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,pid_torque_l_nm,pid_torque_r_nm,agent_torque_l_nm,agent_torque_r_nm,combined_torque_l_nm,combined_torque_r_nm
0.2501542568206787,0.04631723836064339,-0.41063404083251953,0.34928393363952637,-1.0745439529418945,0.032007015569402074,0.5594803816360647,-0.012879200512117182,0.8731029802217258,0.37086212635040283,-0.9971937537193298,0.38374132686252,-0.124090773497604
0.26016998291015625,0.050237368792295456,-0.42124396562576294,0.48351582884788513,-1.1407907009124756,0.04987281840023814,0.5535631828398343,-0.00032809535285158387,0.8773264336190375,0.37126779556274414,-0.9974220991134644,0.37159589091559575,-0.12009566549442685
0.27007222175598145,0.05594712868332863,-0.4328765571117401,0.5170403122901917,-1.0101652145385742,0.06778844412184354,0.5475731305329964,0.010657183894663419,0.8824047188802628,0.32281792163848877,-0.9975302815437317,0.31216073774382536,-0.11512556266346885
0.2801530361175537,0.061273399740457535,-0.44408300518989563,0.5776286721229553,-1.2791714668273926,0.0867902623741478,0.5409586585390708,0.022965176370321243,0.8865374973560698,0.4010813236236572,-0.9977995753288269,0.378116147253336,-0.11126207797275711
0.29015636444091797,0.06655705720186234,-0.45831483602523804,0.5572859644889832,-1.4870305061340332,0.10595596570847984,0.5341852894388333,0.03545901765595576,0.8932501129176642,0.40580153465270996,-0.9980326294898987,0.3703425169967542,-0.10478251657223447
0.30015110969543457,0.07260769605636597,-0.4744214415550232,0.4967363774776459,-1.3314380645751953,0.12556734779423934,0.5270011788465869,0.04766368656408603,0.9012803583614492,0.3571310043334961,-0.9981696009635925,0.30946731776941006,-0.09688924260214338
0.3101530075073242,0.07882878929376602,-0.48720452189445496,0.6620771288871765,-1.3487764596939087,0.1454817374381981,0.5195514497798495,0.059987653329988865,0.906080374506874,0.3514678478240967,-0.9982787370681763,0.29148019449410784,-0.09219836256130232
0.3201584815979004,0.08479420095682144,-0.4992205798625946,0.593108057975769,-1.2610270977020264,0.16562802468314886,0.5117727961519362,0.07275044135369467,0.9098940384130776,0.3167145252227783,-0.9983794093132019,0.24396408386908364,-0.08848537090012432
0.3301568031311035,0.08918304741382599,-0.5129836797714233,0.4335760772228241,-1.5332361459732056,0.1859709631867446,0.5036933624128732,0.08710912419562676,0.9150093379658669,0.397887647151947,-0.9985366463661194,0.31077852295632025,-0.08352730840025246
0.3401608467102051,0.09301796555519104,-0.52823805809021,0.3551889955997467,-1.5123647451400757,0.20637555762776202,0.4953647514385026,0.10202183286531388,0.9212425285758414,0.3315427303314209,-0.9986565113067627,0.22952089746610702,-0.07741398273092126
0.3501546382904053,0.09796074032783508,-0.5421289801597595,0.5471315383911133,-1.3344141244888306,0.22682940538348917,0.48670159410858554,0.11598179855008868,0.9259475168415106,0.26985418796539307,-0.9987373948097229,0.1538723894153044,-0.07278987796821235
0.36015748977661133,0.10179565846920013,-0.5556790232658386,0.3135598301887512,-1.290912389755249,0.24724011685248226,0.47785912403488745,0.13090001254495393,0.9301843325706536,0.2822800874710083,-0.9988301992416382,0.15138007492605438,-0.0686458666709846
0.37015223503112793,0.10401138663291931,-0.5685898661613464,0.21205201745033264,-1.3244558572769165,0.2675006778714236,0.46865240180986506,0.1471403621146539,0.9335180411740903,0.26542389392852783,-0.9989385008811951,0.11828353181387394,-0.06542045970710475
0.38015079498291016,0.10473576188087463,-0.583673894405365,0.06484507024288177,-1.586601972579956,0.28765909125652606,0.4593349919606191,0.1646309964380863,0.9387079977293857,0.32390904426574707,-0.9990293383598328,0.15927804782766078,-0.06032134063044703
0.3901519775390625,0.10401138663291931,-0.5986726880073547,-0.07114109396934509,-1.4076777696609497,0.30742175791895504,0.44962398301068823,0.18306933415743215,0.9434670039162387,0.21549129486083984,-0.9991590976715088,0.03242196070340769,-0.05569209375527007
0.40015435218811035,0.10375571995973587,-0.6124357581138611,0.02545873634517193,-1.2967729568481445,0.3270913816409903,0.4398594583107516,0.20100209551312898,0.9470656947821514,0.21736109256744385,-0.9992506504058838,0.016358997054314872,-0.052184955623732376
0.41015052795410156,0.10384094715118408,-0.6269657611846924,-0.03180461749434471,-1.4779657125473022,0.3460180457255273,0.4296999118096687,0.2179593887169089,0.950999105694925,0.23156654834747314,-0.9993165135383606,0.013607159630564247,-0.048317407843435634
0.42015576362609863,0.10405399650335312,-0.6421776413917542,0.01449595671147108,-1.5635277032852173,0.3649440760586496,0.41952478898408824,0.23480107159976682,0.9555321873382582,0.20233726501464844,-0.9993700981140137,-0.03246380658511838,-0.043837910775755495
0.43015265464782715,0.10482098162174225,-0.6574320197105408,0.07981894165277481,-1.483959674835205,0.3827304824903511,0.40895579562207696,0.25011855078174794,0.9597490337993558,0.15460026264190674,-0.9994364976882935,-0.0955182881398412,-0.039687463888937624
0.4401562213897705,0.10448009520769119,-0.6711525321006775,-0.0708964467048645,-1.3490190505981445,0.40052876632200696,0.39837974450156016,0.2664438040028842,0.962579048942014,0.1319047212600708,-0.9995113611221313,-0.1345390827428134,-0.03693231218011739
0.450148344039917,0.10320179164409637,-0.6849156022071838,-0.11013142019510269,-1.3938217163085938,0.41697330965381235,0.38748268150283904,0.28239436620874436,0.9651584553390206,0.12319177389144897,-0.9995574355125427,-0.1592025923172954,-0.034398980173522165
0.46015501022338867,0.1015399917960167,-0.6991900205612183,-0.18746377527713776,-1.4053908586502075,0.4333186275375141,0.3765389893168206,0.29860077216734765,0.968156108890235,0.09976369142532349,-0.999595046043396,-0.19883708074202416,-0.03143893715316104
