time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,applied_torque_l_nm,applied_torque_r_nm
2.910186767578125,-0.4212013781070709,0.39776578545570374,0.7129306793212891,3.9860031604766846,-0.2839741257810095,-0.5113121137819016,-0.3743345511241072,0.7007433061503854
2.9201927185058594,-0.41374459862709045,0.4403333067893982,0.629575252532959,4.109869956970215,-0.27196518473850906,-0.5220581067304794,-0.35220067368221664,0.7103654475534052
2.930192232131958,-0.40667131543159485,0.482602596282959,0.7188244462013245,4.028009414672852,-0.25987911561515015,-0.5318820702810351,-0.32809544168307375,0.71880401929857
2.940192461013794,-0.3987458348274231,0.5237640142440796,0.7725127339363098,3.87123441696167,-0.2477638190414539,-0.5412848854507526,-0.3026796660815507,0.7278515644297957
2.9501895904541016,-0.392354279756546,0.5566164255142212,0.7794668078422546,3.931478977203369,-0.2355852387431837,-0.549685638213598,-0.2761835786514666,0.7354391674336683
2.960101366043091,-0.3834913671016693,0.5977778434753418,0.8666479587554932,3.9249515533447266,-0.22350088658568384,-0.5577592196555109,-0.2495281833871545,0.74415028907189
2.9702014923095703,-0.3747563064098358,0.6365956664085388,0.7674813270568848,3.661864757537842,-0.21114545330353907,-0.5648985009555774,-0.22223960975878757,0.7512301604297549
2.980186939239502,-0.36563771963119507,0.6751578450202942,0.8434560298919678,3.7293221950531006,-0.19892965498618215,-0.571827768836404,-0.19572566572425912,0.7598804035886232
2.9901912212371826,-0.35613566637039185,0.7124417424201965,0.950819194316864,3.6338717937469482,-0.18668515843193828,-0.5776508953524728,-0.16998889554825244,0.766454458613987
3.0001041889190674,-0.3458240032196045,0.7488734126091003,1.0776866674423218,3.579519748687744,-0.17455283333631827,-0.5834089005232864,-0.14565648706390338,0.7749406206988236
3.010192394256592,-0.3351288437843323,0.7851772904396057,1.067181944847107,3.5008389949798584,-0.16224528348852643,-0.5881215384074504,-0.12262704572874641,0.7812139647497685
3.0201478004455566,-0.32515808939933777,0.8197340965270996,0.9711591601371765,3.3939554691314697,-0.1501014139804901,-0.5927443802119952,-0.10164950056967857,0.7891728659278154
3.0301733016967773,-0.3147611916065216,0.8542057275772095,1.0440019369125366,3.370469570159912,-0.1379523730110012,-0.5964542212291518,-0.08289728917743641,0.7953772994246119
3.040081262588501,-0.3055148124694824,0.8811779618263245,1.1470942497253418,3.2701399326324463,-0.12595666114953877,-0.5999969143651522,-0.06645315512529973,0.8027188944481767
3.05014967918396,-0.29379698634147644,0.9142434597015381,1.1251636743545532,3.194366455078125,-0.11388074846161335,-0.6028159607018637,-0.05245532735031631,0.8087666851195685
3.060145139694214,-0.2823775112628937,0.9459453821182251,1.0889370441436768,3.120138645172119,-0.10192445013946594,-0.6053991988451205,-0.0407647884916802,0.8154305099676266
3.070148229598999,-0.27048924565315247,0.9764969348907471,1.1793397665023804,2.9881529808044434,-0.0900937916467451,-0.6073688958093773,-0.03163506757111809,0.8210614741894711
3.080073118209839,-0.258345365524292,1.0058553218841553,1.2107073068618774,2.895918369293213,-0.07841690962450129,-0.6090446913110559,-0.02450212133409261,0.8268016981849294
