#{"t_start": 1782413128.1205232, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
149.281889,1000,284.719318
159.847748,1000,289.021225
163.579094,1000,293.357954
160.41712,1000,297.654531
159.070693,1000,301.962892
160.429402,1000,306.554914
128.964689,1000,311.663651
161.549235,1000,316.937165
140.760757,1000,322.058953
155.498061,1000,327.014389
160.037013,1000,331.883173
164.274295,1000,336.321727
161.168778,1000,340.586156
157.141632,1000,344.941624
168.754648,1000,349.351749
172.918539,1000,354.493799
160.040442,1000,359.6175
164.108335,1000,364.850968
167.333232,1000,369.982316
163.58701,1000,374.280775
173.588745,1000,378.592875
155.247349,1000,382.900902
171.596122,1000,387.20557
140.189838,1000,391.503688
170.999274,1000,395.8354
170.781696,1000,400.720027
151.807491,1000,405.650129
163.132398,1000,409.937857
128.767002,1000,414.394179
175.717514,1000,419.455642
171.47388,1000,424.537715
159.866324,1000,428.835619
174.6111,1000,433.140415
175.286574,1000,437.531018
171.006219,1000,441.85913
156.93652,1000,446.174172
180.934554,1000,450.490669
177.489187,1000,454.784249
188.646866,1000,459.592481
184.146032,1000,464.370764
176.408136,1000,468.727211
187.830884,1000,473.091027
181.822577,1000,477.49415
162.050439,1000,481.849294
180.665829,1000,486.369969
172.893538,1000,491.631467
186.913688,1000,496.782573
187.861011,1000,501.198493
127.643357,1000,505.526492
190.884087,1000,509.879563
179.193068,1000,514.29235
191.605638,1000,518.666303
140.373604,1000,523.927335
120.469228,1000,528.997213
119.592876,1000,534.241489
188.741197,1000,539.260173
190.27122,1000,544.172883
154.529246,1000,549.085141
139.41337,1000,554.681548
148.625206,1000,560.31287
68.070302,1000,566.111203
159.449821,1000,572.117571
161.600812,1000,577.546577
142.372131,1000,582.572684
179.702341,1000,587.46386
187.460356,1000,592.628412
163.1557,1000,598.710436
181.841605,1000,604.742307
135.083345,1000,610.779248
163.550549,1000,616.317188
114.082454,1000,622.479494
128.708015,1000,628.468277
202.199981,1000,633.704
108.030369,1000,638.570857
147.948353,1000,643.787596
170.940982,1000,649.47974
125.394014,1000,654.336225
107.783529,1000,659.186069
121.461158,1000,664.082273
120.217545,1000,668.960441
164.845958,1000,674.205802
156.745803,1000,679.12448
177.697843,1000,684.02841
136.623278,1000,688.979367
126.832666,1000,694.149175
176.105466,1000,699.498079
156.448348,1000,704.464527
143.057328,1000,710.192867
129.602198,1000,715.973507
141.381474,1000,721.59092
142.901906,1000,726.951857
162.512972,1000,732.074885
137.170956,1000,737.042053
183.414271,1000,742.273297
159.292259,1000,748.415658
168.842147,1000,753.693257
157.147397,1000,758.699957
162.17178,1000,763.712968
150.507335,1000,768.594986
182.959074,1000,773.509228
166.609519,1000,778.73863
176.346347,1000,784.542802
150.925785,1000,790.254621
156.060744,1000,796.414352
137.199698,1000,801.567961
114.196315,1000,806.831183
143.709039,1000,812.645812
123.442331,1000,817.569954
147.925576,1000,822.407745
152.454955,1000,827.229219
139.149738,1000,832.146915
143.966126,1000,836.954401
40.453734,1000,841.837863
165.376689,1000,848.01456
165.31285,1000,854.360639
133.016863,1000,859.569489
155.7461,1000,864.396519
150.315622,1000,869.553256
176.809933,1000,875.068968
169.744262,1000,881.574953
163.366876,1000,888.287867
177.204879,1000,895.122736
180.683358,1000,902.004064
158.608387,1000,907.263852
170.862214,1000,912.588117
171.63737,1000,917.888073
171.975532,1000,923.191502
169.39017,1000,929.028654
151.511956,1000,934.867081
185.711127,1000,940.819422
182.299216,1000,946.146809
187.265886,1000,952.198196
160.602291,1000,958.790088
156.954704,1000,964.235105
178.442718,1000,969.655318
172.680757,1000,975.248034
195.893986,1000,981.384142
179.857255,1000,987.034693
167.883927,1000,992.84882
198.479718,1000,998.528383
164.249392,1000,1004.191644
167.227735,1000,1009.802155
184.353869,1000,1015.388505
136.860908,1000,1020.542016
135.835977,1000,1025.713809
172.708277,1000,1031.955767
169.151854,1000,1038.37648
195.010323,1000,1044.741177
159.313032,1000,1050.284853
204.767545,1000,1055.656777
157.571163,1000,1061.202058
177.752492,1000,1066.879906
171.53384,1000,1072.002843
165.113884,1000,1078.304708
202.477012,1000,1084.68223
133.303508,1000,1090.253158
172.869926,1000,1095.801742
162.701611,1000,1101.366079
175.839431,1000,1106.603223
196.14359,1000,1112.545625
174.708429,1000,1117.983141
181.177514,1000,1123.704072
155.959076,1000,1129.183542
188.539979,1000,1134.588946
167.500943,1000,1140.450418
156.699092,1000,1146.053161
188.75571,1000,1151.745115
187.135406,1000,1157.859239
150.526029,1000,1164.060194
200.878919,1000,1169.475855
162.691499,1000,1174.463001
166.961993,1000,1179.639202
189.599139,1000,1184.85318
161.582445,1000,1190.501871
194.832805,1000,1196.351549
178.492438,1000,1201.96936
146.28465,1000,1207.217354
191.566765,1000,1212.322983
182.420613,1000,1217.601386
168.374624,1000,1222.476508
184.42638,1000,1227.279124
198.153508,1000,1232.958584
192.798301,1000,1239.34245
176.89339,1000,1245.529432
188.784856,1000,1250.922857
189.592776,1000,1256.966
171.865846,1000,1263.635086
159.882606,1000,1269.435333
167.089505,1000,1274.400748
193.586375,1000,1279.376409
180.270649,1000,1284.258914
166.017783,1000,1289.500275
72.22449,1000,1295.868876
127.909842,1000,1302.368505
189.190365,1000,1307.825409
154.655113,1000,1313.224766
185.000681,1000,1318.45628
184.259983,1000,1323.871954
190.44699,1000,1328.793758
171.158608,1000,1334.429162
98.394624,1000,1340.183235
169.612174,1000,1346.172614
166.17793,1000,1352.101992
206.910953,1000,1357.943771
180.117702,1000,1364.163918
188.800348,1000,1369.677369
208.27778,1000,1375.432912
197.793857,1000,1381.615552
191.24024,1000,1387.953328
177.77722,1000,1394.037098
192.214645,1000,1400.056318
195.405458,1000,1406.643836
199.604408,1000,1413.206453
111.713452,1000,1419.910402
217.380866,1000,1426.714162
203.841869,1000,1432.350096
209.796858,1000,1438.424978
182.507193,1000,1444.506303
187.429016,1000,1450.21316
194.84693,1000,1456.045054
161.149234,1000,1462.633625
176.826437,1000,1469.304393
188.627074,1000,1475.221373
206.032751,1000,1480.343012
168.493577,1000,1485.390239
200.135624,1000,1491.119134
184.556228,1000,1496.783749
200.18295,1000,1502.43012
203.476817,1000,1507.622225
157.945505,1000,1513.029395
195.895548,1000,1518.406685
204.880876,1000,1523.689506
207.029602,1000,1528.576257
193.570917,1000,1533.713966
220.149311,1000,1539.259051
172.075501,1000,1544.318976
196.970406,1000,1549.549102
195.559756,1000,1555.006208
209.694573,1000,1560.74294
187.973858,1000,1566.242786
184.015296,1000,1572.581089
186.0977,1000,1579.239117
186.864648,1000,1585.674156
199.28281,1000,1591.394055
145.487866,1000,1596.996985
191.368705,1000,1603.340579
151.800966,1000,1609.66844
190.401768,1000,1615.486783
204.776909,1000,1622.04699
189.787023,1000,1628.429576
190.339388,1000,1634.362745
191.55826,1000,1639.782201
182.504433,1000,1645.471887
217.802995,1000,1651.075466
265.436837,1000,1656.853188
212.839443,1000,1662.694306
169.938313,1000,1668.920538
217.920039,1000,1674.729935
207.023344,1000,1680.832826
197.898473,1000,1686.629618
192.593855,1000,1692.50576
194.238754,1000,1698.704721
233.693432,1000,1704.633995
166.00618,1000,1710.149331
216.09786,1000,1715.950293
197.150962,1000,1721.322075
241.485428,1000,1726.846031
188.390525,1000,1732.428725
164.645055,1000,1738.007184
239.542296,1000,1743.034281
236.633715,1000,1748.178394
121.582511,1000,1753.395647
179.003203,1000,1758.703013
229.631814,1000,1763.984114
238.275806,1000,1769.169358
220.222955,1000,1775.062262
171.777882,1000,1780.532266
215.624383,1000,1785.812457
255.48625,1000,1790.689076
214.996287,1000,1795.723753
236.850745,1000,1800.784344
264.299009,1000,1806.125079
103.652459,1000,1810.684353
246.896063,1000,1815.954465
96.833224,1000,1820.73932
197.624737,1000,1825.416188
184.61885,1000,1830.116273
214.533294,1000,1834.757787
246.133331,1000,1839.535723
176.712645,1000,1844.872762
229.129841,1000,1850.127532
174.212403,1000,1855.341777
172.00294,1000,1860.486258
256.547098,1000,1865.818877
243.733107,1000,1870.990229
266.301252,1000,1875.915146
180.910118,1000,1880.349805
234.111922,1000,1885.403429
268.125329,1000,1890.56548
196.404251,1000,1895.75794
173.83799,1000,1900.450402
154.045635,1000,1904.8681
164.310733,1000,1909.4379
215.583875,1000,1914.022038
157.874799,1000,1918.436644
223.140974,1000,1922.864888
203.080964,1000,1927.407206
252.083491,1000,1932.111121
194.326658,1000,1937.28308
275.915893,1000,1942.368545
183.303929,1000,1947.464186
205.124886,1000,1952.555464
234.868207,1000,1956.921953
128.358327,1000,1961.296717
224.315958,1000,1965.719685
299.876789,1000,1970.098992
209.376856,1000,1974.498681
119.490611,1000,1978.886599
106.460068,1000,1983.292914
239.976698,1000,1987.680909
270.814666,1000,1992.059536
174.893085,1000,1996.459086
244.430249,1000,2000.829621
248.613929,1000,2005.198256
194.07397,1000,2009.589247
263.490278,1000,2013.959514
156.129604,1000,2018.313025
238.159777,1000,2022.708706
250.988507,1000,2027.102182
206.473113,1000,2032.19936
265.361802,1000,2037.232805
208.849567,1000,2041.739588
183.098937,1000,2046.053349
267.542435,1000,2050.373321
226.505893,1000,2054.71525
228.423541,1000,2059.079757
263.74596,1000,2063.433987
182.864387,1000,2067.803501
161.617787,1000,2072.440388
134.133335,1000,2077.479775
232.603739,1000,2082.295566
129.063507,1000,2086.675563
304.436105,1000,2091.065772
230.312979,1000,2095.582167
256.820545,1000,2100.727178
250.940639,1000,2105.797546
276.39525,1000,2110.990952
239.135467,1000,2115.328648
309.938244,1000,2119.627105
269.345476,1000,2124.229492
281.02513,1000,2129.382739
307.792633,1000,2134.518217
313.176473,1000,2139.597543
266.775275,1000,2144.640746
270.828112,1000,2149.698249
339.077155,1000,2154.148782
276.885763,1000,2158.466833
266.551719,1000,2163.33848
261.125365,1000,2168.367644
284.292659,1000,2173.329147
296.924591,1000,2178.422905
289.272272,1000,2183.502884
325.363398,1000,2188.599947
335.49731,1000,2193.302625
269.071094,1000,2197.637238
288.249635,1000,2202.022232
349.078315,1000,2206.294816
268.484093,1000,2210.573023
280.728297,1000,2214.855837
348.976344,1000,2219.131525
288.313262,1000,2223.399198
307.157592,1000,2227.681772
294.02997,1000,2231.952426
325.546796,1000,2236.243187
325.049262,1000,2240.544904
273.140191,1000,2244.853779
306.080581,1000,2249.151229
281.22588,1000,2253.468174
339.445465,1000,2257.787403
342.052163,1000,2262.487412
319.14616,1000,2267.559732
321.400586,1000,2272.596689
251.051344,1000,2277.624919
352.637694,1000,2282.646185
321.645438,1000,2287.650901
370.76745,1000,2292.701105
337.650759,1000,2297.491519
380.340454,1000,2302.520447
