time_s,target_right_rad,actual_right_rad,torque_right_nm,right_flex,right_ext,target_left_rad,actual_left_rad,torque_left_nm,left_flex,left_ext
5.58,-0.5879831015018254,-0.08021911034262606,-1.9863070393638773,0.6836883813427594,0.0,0.16975310418137338,0.2471565808977957,-0.8426256288299161,0.326700019959835,0.0
5.59,-0.5908086879159012,-0.1289645266194123,-1.4740924912833953,0.7106239928145467,0.0,0.16685324670172014,0.20003520933641988,-0.6921064795379251,0.3183953061415231,0.0
5.6000000000000005,-0.5932694759289199,-0.18264382232183243,-1.158012866746701,0.7060170534071988,0.0,0.16356397991368923,0.1499831181679476,-0.5715605525053015,0.2986758347609268,0.0
5.61,-0.595069097835587,-0.23904424281800107,-0.9645617130971509,0.6811004146285211,0.0,0.15951147989944908,0.09815833076540922,-0.4761490077900921,0.2703680124601562,0.0
5.62,-0.5964054307239115,-0.29666547467982496,-0.8449130258673363,0.6432943477121291,0.0,0.15492417090341173,0.04555106961643693,-0.39849802046045446,0.23534221039854758,0.0
5.63,-0.5972148685281453,-0.3544364006954543,-0.7693825092794155,0.5970239861915888,0.0,0.14967904155403067,-0.006971232966446875,-0.3316626703469134,0.1953829819022414,0.0
5.64,-0.5974714717979945,-0.41155052353046195,-0.7198313688937574,0.5451181495501578,0.0,0.14374370684929488,-0.05862214618305396,-0.268984737719934,0.15186417014370282,0.0
5.65,-0.5973265059047702,-0.4673700538337681,-0.6845807475949324,0.4896112645689864,0.0,0.137265961364219,-0.10865528565554958,-0.20366732611780364,0.10571728557066512,0.0
5.66,-0.5965481050623633,-0.5213641941409655,-0.6549791349528534,0.43162270293422145,0.0,0.12993261745009252,-0.15632612816540237,-0.12901658531034177,0.05804890899304263,0.0
5.67,-0.5954845158766563,-0.5730652079283625,-0.6248557048779693,0.3724158181897307,0.0,0.12218226902876798,-0.2008468533911646,-0.035996114914740716,0.009100217023753743,0.0
5.68,-0.5937158364282126,-0.6220218636960404,-0.5884670076678358,0.31230265049435496,0.0,0.11340093240455851,-0.24013424231367825,0.3566115461011628,0.0,0.04014237173929783
5.69,-0.5917694043549984,-0.6677728628287358,-0.5411268560117467,0.252192058351015,0.0,0.10433799424643149,-0.27082554575253803,0.9288873447894452,0.0,0.09717976203039652
5.7,-0.5890551718067372,-0.709811830505158,-0.47593213011385455,0.1918937694990679,0.0,0.09405868141144665,-0.28889901374593446,1.6126173630791831,0.0,0.16345371147262414
5.71,-0.5862616772509915,-0.7475536057011779,-0.3863502558078803,0.13220883061193542,0.0,0.08364316671596467,-0.2910683849087411,2.2107792718768478,0.0,0.23897106867478135
5.72,-0.5826466171091319,-0.7802793730674245,-0.2604844903490058,0.07256842181217948,0.0,0.07181589416951215,-0.2768543752788628,2.092390600873733,0.0,0.3130084446412114
5.73,-0.5790315569672722,-0.8070539476792185,-0.08403971479262869,0.013605575230647649,0.0,0.05998862162305963,-0.24912728148302102,1.729133201604093,0.0,0.36993893357028085
5.74,-0.5745706782465906,-0.8253408132594534,0.4442479467004915,0.0,0.04580216575724358,0.046582600377506236,-0.21136427284062137,1.3408053572391097,0.0,0.3969061504113811
5.75,-0.5700995160173519,-0.8314421848225274,1.1312064732862477,0.0,0.11300176552736768,0.03315738461889377,-0.1666327172272607,1.02443520002802,0.0,0.397267159937898
5.76,-0.5649078611303084,-0.822906782209845,1.5224030706630927,0.0,0.18812991358171297,0.018268829734183978,-0.11735334116242538,0.7879110878057544,0.0,0.37531308929098184
5.7700000000000005,-0.5596253223199097,-0.7995732704964167,1.498553382657238,0.0,0.2611002829459197,0.0031956872627191997,-0.06538226598905242,0.6153762383498681,0.0,0.33766007299170886
5.78,-0.5537386716714797,-0.7633950297936117,1.2553794716893383,0.0,0.31857988581994845,-0.013167383123319446,-0.01217453195979646,0.4839481201645264,0.0,0.287660647363777
5.79,-0.5476894817861404,-0.7170635817970995,0.9612785253199043,0.0,0.35305208498984836,-0.029877514907105517,0.041076125028072175,0.37671477307438633,0.0,0.2292842728607858
5.8,-0.5411436157812993,-0.6631164458971205,0.7085829624340564,0.0,0.3649690056103111,-0.047538699481011915,0.09332535096931094,0.2782872247783978,0.0,0.16422577009609857
5.8100000000000005,-0.5343725003272393,-0.6036282929646353,0.5184318093450994,0.0,0.3578975745528638,-0.06563119957169267,0.1435907343380973,0.17610717849275268,0.0,0.09451694745134959
5.82,-0.5272031993709625,-0.5402205916963985,0.3829280765517419,0.0,0.33633473469164477,-0.08435098077099039,0.19087053322276848,0.05627350981161548,0.0,0.02108071083876592
5.83,-0.5197548838543996,-0.47417305270409804,0.28753355842416634,0.0,0.30381840873195004,-0.10351030726192234,0.2324639270110926,-0.4562541749378585,0.05520983467013951,0.0
5.84,-0.5119979283516625,-0.406527800113291,0.2194230253685277,0.0,0.26309348433962576,-0.12303625156129333,0.2637530996226326,-1.2562187160031575,0.14332397247992856,0.0
5.8500000000000005,-0.5039171382788165,-0.33816199478032866,0.16848824724664438,0.0,0.2161945789900992,-0.1429468625458266,0.279058484416899,-2.2248283486879954,0.24769594564223715,0.0
5.86,-0.4956083086345943,-0.2698323232006653,0.1268983758529356,0.0,0.1645764154369695,-0.1630265364199526,0.27407535678942424,-2.778979352002127,0.3672305837228671,0.0
5.87,-0.4869397695116845,-0.20221521764776657,0.08865802375062636,0.0,0.10960653970550044,-0.18337288999143933,0.2503515914832519,-2.353920977529163,0.4851685323791149,0.0
5.88,-0.47811484613095284,-0.13598691016955253,0.04853579920672418,0.0,0.052026099668049275,-0.2037538599150021,0.21258307306052027,-1.8111660728056218,0.5717029645580226,0.0
5.89,-0.4689032834641985,-0.07210225076830479,-0.05561864717457529,0.007427348616269813,0.0,-0.22422041416679456,0.1651010877376308,-1.362669644667208,0.6213169367577921,0.0
5.9,-0.45959804675193267,-0.013507175740319722,-0.5949557138325747,0.06999930345459715,0.0,-0.24465024661447587,0.11117355750958961,-1.0494916611272787,0.6413762413530207,0.0
5.91,-0.4498881860475531,0.03540658678389939,-1.2972283790884882,0.14560846617123546,0.0,-0.26492145963992625,0.05312542427121847,-0.843961401748869,0.6403435396894086,0.0
5.92,-0.4401384164087297,0.06955899789836484,-2.1386476914941097,0.23550101364619347,0.0,-0.2851477210864055,-0.007380460143466879,-0.7126295198685709,0.6248470984923229,0.0
5.93,-0.429974983172944,0.08363254617085907,-3.10185633084109,0.337916671073649,0.0,-0.3049080509788661,-0.06911740594621427,-0.6301294532710068,0.5990148235423596,0.0
5.94,-0.41981154993715836,0.07475143201109397,-3.1937688622688207,0.448096498036048,0.0,-0.3246683808713266,-0.13114326481108757,-0.5802725374156515,0.5663251080219929,0.0
5.95,-0.4092441807515635,0.04752997634050129,-2.4253604735696945,0.5454350916498348,0.0,-0.3436122127516528,-0.1927129960983078,-0.5515273803571236,0.5281721217799015,0.0
5.96,-0.398671900490591,0.007990842088033533,-1.7785720721202267,0.596144406431101,0.0,-0.3625461176044758,-0.25326785378432126,-0.5353836895770862,0.4868987856321164,0.0
5.97,-0.38777628469460734,-0.03938174095020072,-1.3294650887058546,0.6064809721200394,0.0,-0.38046596952631806,-0.3123628947065698,-0.5251396210068956,0.4429810691616731,0.0
5.98,-0.3768398829146673,-0.09151593811576521,-1.0386740836312804,0.5890181962630678,0.0,-0.3982579074328556,-0.3696148073213579,-0.5175633613671075,0.3980938468688503,0.0
5.99,-0.36565180091327015,-0.14630812683080263,-0.8508660201981836,0.5530257720385883,0.0,-0.41490134587089567,-0.42466905916488124,-0.5086484190990821,0.3519318126340647,0.0
6.0,-0.3543960031205816,-0.20226207887392872,-0.7260622038503471,0.5049189524980168,0.0,-0.4312357749245,-0.47718128129293685,-0.49632122779226717,0.30567878564501383,0.0
6.01,-0.3429512353187465,-0.2582546487948532,-0.6381596738649404,0.44862699370606707,0.0,-0.446396542484307,-0.526800312972965,-0.47676323967766704,0.25890405209382117,0.0
6.0200000000000005,-0.3314207670195303,-0.3133904046905551,-0.5701229036245339,0.3868981422534331,0.0,-0.46102503841947,-0.5731575118666467,-0.4474268895201591,0.21244664131733754,0.0
6.03,-0.31975509382223255,-0.3669065234272275,-0.5096092013481245,0.32149349298134205,0.0,-0.47466225315573196,-0.6158512471776239,-0.4040146249463672,0.16613081592535345,0.0
6.04,-0.30799468052270496,-0.4181031184487153,-0.446636917230795,0.2537031389642035,0.0,-0.4876048622715162,-0.6544255492927735,-0.3422581222766912,0.12039720566813565,0.0
6.05,-0.2961438823349199,-0.4662828756934343,-0.37164887998835955,0.1844006734474797,0.0,-0.4997673138261391,-0.6883380019977081,-0.2559305414013537,0.07528095050080216,0.0
6.0600000000000005,-0.28419824954130163,-0.5106885305950719,-0.27377953124337046,0.11415224296828033,0.0,-0.5111112000627431,-0.7169133868273808,-0.136206161948845,0.03075969360397987,0.0
6.07,-0.2721981067680047,-0.5504246210383764,-0.13860421066416587,0.04329763881745832,0.0,-0.5218686195878874,-0.7389221445121635,0.10866241496775725,0.0,0.013075873320066128
6.08,-0.260111979986515,-0.5834778758715555,0.25021838114194256,0.0,0.02818157065891841,-0.531700946885512,-0.7518872072794203,0.5915296483431539,0.0,0.058912764668942436
6.09,-0.24799827303268154,-0.6056181283995841,1.0532151111999637,0.0,0.10571371948155664,-0.5411230655333379,-0.753644775455663,1.0615077056160978,0.0,0.11114675172276117
6.1000000000000005,-0.23581637776953956,-0.611548026184159,1.9722968348036207,0.0,0.1977641180309898,-0.5495309978321831,-0.7428462764912745,1.2422258240694533,0.0,0.1634243599221027
6.11,-0.22362488704014505,-0.5986312137010934,2.195864563111462,0.0,0.30099192416351883,-0.557687546754851,-0.7199011555502917,1.1959713028918169,0.0,0.2101186535468637
6.12,-0.21139194880157153,-0.5688990954752774,1.8697993794162822,0.0,0.3958113816517844,-0.5647582479951166,-0.6864111342794923,1.0212984580138134,0.0,0.24283249382018576
6.13,-0.19915845470159127,-0.526236138557363,1.4133183418747055,0.0,0.4608498738518223,-0.5717189583447871,-0.64439181836242,0.8073477591578214,0.0,0.2571130164048848
6.140000000000001,-0.18691919899380252,-0.474395795796928,1.029152389902098,0.0,0.4936987739497605,-0.5775395924666752,-0.5958374241780552,0.614116966525445,0.0,0.2542423012461753
6.15,-0.17467994328601377,-0.41626988332472553,0.7555974467808783,0.0,0.5002304766204742,-0.5833602265885632,-0.54245731712752,0.45616484269908314,0.0,0.23573222934983645
6.16,-0.16247999430558743,-0.35397331287607814,0.5720091269743006,0.0,0.48756109284345717,-0.5880319263392185,-0.48567336113618265,0.33386788369952247,0.0,0.2056435976959522
6.17,-0.15028052321850285,-0.28906731416813713,0.4501771744752067,0.0,0.46130612928319037,-0.5926896572829286,-0.4266763855261634,0.23773118625999462,0.0,0.16565296606278387
6.18,-0.13816220805793425,-0.22274464244750536,0.36857551230838975,0.0,0.42531836901231523,-0.5963921447051074,-0.36648702029446606,0.1595229591401022,0.0,0.11875374850323048
6.19,-0.12605413001626672,-0.15595616213437696,0.31247774725417476,0.0,0.3823933236750705,-0.59997413641084,-0.3060170070660819,0.08975714739819007,0.0,0.06589826196734036
6.2,-0.11405982014674518,-0.08949483344075018,0.27176646459733284,0.0,0.334378745400963,-0.6027771426567027,-0.24612204617709357,0.020972628231090407,0.0,0.008969461896425446
6.21,-0.10209612015890618,-0.024062397227922153,0.23941484199110835,0.0,0.28276992756631514,-0.6053705590646583,-0.18929576554284497,-0.4297254359414686,0.051551969732964165,0.0
6.22,-0.09026820358716096,0.03970290619777143,0.20953280942686356,0.0,0.22849062902666972,-0.607343815286365,-0.13965288752784327,-1.0977713926393542,0.12428586409573811,0.0
6.23,-0.07850186666156354,0.1012050650337458,0.17681145306865503,0.0,0.17248171672076995,-0.6090358203367437,-0.10222381800175721,-1.9228122500509133,0.21245804432324075,0.0
6.24,-0.06688273139432388,0.15986384584165814,0.13602582574601538,0.0,0.1153855734013674,-0.6102490576864552,-0.08268634217952975,-2.8906467030543106,0.3153319185063912,0.0
6.25,-0.05536674253937679,0.21509637775001902,0.08169038455918058,0.0,0.057811183139250294,-0.6111268153194579,-0.08548840261399386,-3.4861458956632965,0.430938089702414,0.0
6.26,-0.04399877658337197,0.2662907981748351,0.007441198592891744,0.0,0.00022217829178794446,-0.6116497649493343,-0.1080165971592904,-2.7525839757433213,0.5435662569046535,0.0
6.2700000000000005,-0.032786120807488175,0.31099927841706615,-0.48045675060269305,0.057061314541787866,0.0,-0.6118004391051611,-0.14405738219342068,-2.06665299160835,0.6153910640135742,0.0
6.28,-0.02171171216944745,0.3454642841193864,-1.0998326329146728,0.12417994385711884,0.0,-0.6117028321673629,-0.1887435443374764,-1.5687277670457622,0.6443177427796537,0.0
6.29,-0.010855374481038486,0.3631185045557604,-1.821229870196927,0.20191504462486298,0.0,-0.6112135867862145,-0.23870464511136916,-1.2432013774958792,0.6424237947818294,0.0
6.3,-0.00011691116769110225,0.3604120187328834,-2.417656208766023,0.3095296937461876,0.0,-0.6105651544329017,-0.291641202283035,-1.0358067598655543,0.6202976670513167,0.0
6.3100000000000005,0.010330123424831429,0.34059860153973154,-2.0862772736265787,0.39078412249589256,0.0,-0.6095231534549783,-0.3459634276780106,-0.9032043102422805,0.5845448254318865,0.0
6.32,0.020690253406756197,0.30750949498719216,-1.6358057498896803,0.4457840705238308,0.0,-0.6083936268383116,-0.40054565684648996,-0.8154598810440973,0.5402048247345581,0.0
6.33,0.03067499989497955,0.2648764999692233,-1.239470429818463,0.4690569562785001,0.0,-0.6068860342038138,-0.4545437996679275,-0.7536796804285909,0.49004442587912805,0.0
6.34,0.04061440853875252,0.2156991156228141,-0.9431627096952518,0.46560210512775363,0.0,-0.6053451444759532,-0.5072866512274854,-0.7060980248734496,0.4363733686542409,0.0
6.3500000000000005,0.050083881914267506,0.162233262821177,-0.7346504973269334,0.44252619043655983,0.0,-0.6034591241250814,-0.558202610440387,-0.6638421500731086,0.38027725847351124,0.0
6.36,0.059553355289782485,0.1061715373486059,-0.588315880041765,0.40503667073414534,0.0,-0.6015731037742095,-0.6067685959192763,-0.6207696650523289,0.3230036594737603,0.0
6.37,0.06846139646755321,0.04881876061353986,-0.4831160046388853,0.3577558701310264,0.0,-0.599399318311142,-0.6524702949080335,-0.57072317738759,0.26495704089148764,0.0
6.38,0.07736261172194707,-0.008771581475808761,-0.4022701509217946,0.30311569500229063,0.0,-0.5972220341840964,-0.6947705532115858,-0.5078907180926349,0.20685759778738733,0.0
6.390000000000001,0.08571217053969585,-0.06570176796982792,-0.33399993222803387,0.24366958049853335,0.0,-0.5948635118543563,-0.7330749277270524,-0.42476552211310814,0.1488819490973616,0.0
6.4,0.09399214266455702,-0.12115727921747979,-0.267686087356319,0.18047538712075648,0.0,-0.5924821278913376,-0.766686609452762,-0.31222279112513174,0.09137667978143282,0.0
6.41,0.10174083111555463,-0.17434798365356302,-0.19403996052594724,0.11501831460788187,0.0,-0.5900085998470853,-0.794738333842387,-0.1567176307667732,0.0343346090346385,0.0
6.42,0.10934657510247155,-0.22444489098983622,-0.10185369982993309,0.04771661265089411,0.0,-0.5875102799882939,-0.8154686905246846,0.1990935636593965,0.0,0.022351960697817863
6.43,0.11645200517998869,-0.269847838810458,0.1721584416849344,0.0,0.020636975381879225,-0.5849914773816897,-0.8255191400180922,0.8360675634900054,0.0,0.0828016508214991
6.44,0.12333053602054894,-0.3067740634609853,0.8828674449807198,0.0,0.09398781712433518,-0.5824633855673261,-0.8220628142504152,1.3572662434455205,0.0,0.15253218120677034
6.45,0.1297503197178565,-0.3299200965332545,1.786939135624841,0.0,0.18156433634760333,-0.5799690395505304,-0.8041648506128695,1.453311692859223,0.0,0.22173204564370153
6.46,0.1358486524036502,-0.33416157820646913,2.7255163309527903,0.0,0.2841955022446628,-0.5774983397207946,-0.7730793432593175,1.290892398144275,0.0,0.2802504429779846
6.47,0.1415404017140188,-0.3178464397352481,2.5638528831026863,0.0,0.39363796440530185,-0.5750981814459677,-0.7311998357017916,1.0256132100548523,0.0,0.31836976752467355
6.48,0.14680555123663355,-0.28521708431388065,2.001061982218086,0.0,0.4845766544336394,-0.5727720375410604,-0.6810275798188143,0.7691669669509882,0.0,0.33392140943989357
6.49,0.1517268781533339,-0.24116465558782604,1.4719621813602222,0.0,0.5358942926697063,-0.5705357981603627,-0.6247453035975646,0.5654826191963233,0.0,0.3294250856115959
6.5,0.15610585950435812,-0.18956293961572768,1.0865245296360992,0.0,0.5524176190119153,-0.5684413741204845,-0.5640761962306823,0.4148374696110597,0.0,0.3088855923736647
6.51,0.16021437602066105,-0.133179631003056,0.8298865702184735,0.0,0.5437927760252312,-0.5664387847860761,-0.5003849955190798,0.3059697699194776,0.0,0.27613114698205055
6.5200000000000005,0.16365420419168317,-0.07397372609221647,0.661683693023484,0.0,0.5175137449043961,-0.5646632445514271,-0.43478300854039803,0.2263020668979518,0.0,0.23393301162424834
6.53,0.16690752230085934,-0.013373983399535251,0.5500847021828994,0.0,0.47946404153777067,-0.5629640364154687,-0.36820780365060557,0.16535559503420158,0.0,0.1845834379806146
6.54,0.16935521228346753,0.04752650626656444,0.47261938334451437,0.0,0.43274818197721,-0.5615945439262499,-0.30148478413650115,0.11433406838484259,0.0,0.12948414865981375
6.55,0.1717109439787879,0.10784790395051662,0.41526303832168154,0.0,0.3804807159114123,-0.5602684481409016,-0.23537652525684272,0.06633654849057308,0.0,0.07012815753561508
6.5600000000000005,0.17311351076457113,0.16684196459056932,0.3672023628710502,0.0,0.3236291351587235,-0.5593921673373128,-0.17062660264757368,0.014373905789758001,0.0,0.007095727679991004
6.57,0.17451607755035436,0.22382735015251282,0.3216210771306836,0.0,0.26429968083703803,-0.5585158865337241,-0.10993723273233853,-0.4894080075109451,0.0584955548266321,0.0
6.58,0.17483422086211475,0.2781566373106537,0.2710071075913625,0.0,0.20239753886265424,-0.5645345636821294,-0.05801619197431845,-1.2694629291468016,0.14377671105156675,0.0
6.59,0.17513917969394777,0.32919104565983043,0.20978444047044895,0.0,0.1396095599891488,-0.5706370701065473,-0.02068165943907904,-2.2325062392039174,0.246807873783444,0.0
6.6000000000000005,0.1744246468818071,0.3656170443715638,0.1299869760539615,0.0,0.07561764628495105,-0.5756219267503669,-0.0042664619906911646,-3.3529488793195457,0.36592182836558035,0.0
